================ Training Loss (Sat Jun 20 21:34:55 2026) ================
[Rank 0] (epoch: 17, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.451, G_L1: 6.229, D_real: 0.154, D_fake: 0.217

[Rank 0] (epoch: 18, iters: 200, time: 0.402, data: 0.187) , G_GAN: 0.288, G_L1: 5.573, D_real: 0.409, D_fake: 0.186

[Rank 0] (epoch: 18, iters: 400, time: 0.004, data: 0.003) , G_GAN: 0.568, G_L1: 7.509, D_real: 0.065, D_fake: 0.600

[Rank 0] (epoch: 18, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.248, G_L1: 7.728, D_real: 0.445, D_fake: 0.083

[Rank 0] (epoch: 18, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.272, G_L1: 7.220, D_real: 0.111, D_fake: 0.409

[Rank 0] (epoch: 18, iters: 1000, time: 0.017, data: 0.004) , G_GAN: 0.350, G_L1: 5.664, D_real: 0.373, D_fake: 0.141

[Rank 0] (epoch: 19, iters: 200, time: 0.004, data: 0.173) , G_GAN: 0.863, G_L1: 7.673, D_real: 0.126, D_fake: 0.373

[Rank 0] (epoch: 19, iters: 400, time: 0.017, data: 0.004) , G_GAN: 0.855, G_L1: 7.594, D_real: 0.052, D_fake: 0.412

[Rank 0] (epoch: 19, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.590, G_L1: 8.201, D_real: 0.206, D_fake: 0.116

[Rank 0] (epoch: 19, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.243, G_L1: 6.733, D_real: 0.405, D_fake: 0.122

[Rank 0] (epoch: 19, iters: 1000, time: 0.003, data: 0.004) , G_GAN: 0.413, G_L1: 7.973, D_real: 0.300, D_fake: 0.177

[Rank 0] (epoch: 20, iters: 200, time: 0.018, data: 0.176) , G_GAN: 0.546, G_L1: 6.603, D_real: 0.212, D_fake: 0.466

[Rank 0] (epoch: 20, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.143, G_L1: 6.620, D_real: 0.413, D_fake: 0.112

[Rank 0] (epoch: 20, iters: 600, time: 0.004, data: 0.006) , G_GAN: 0.311, G_L1: 7.049, D_real: 0.096, D_fake: 0.354

[Rank 0] (epoch: 20, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.768, G_L1: 8.248, D_real: 0.107, D_fake: 0.256

[Rank 0] (epoch: 20, iters: 1000, time: 0.014, data: 0.005) , G_GAN: 0.336, G_L1: 7.748, D_real: 0.198, D_fake: 0.287

[Rank 0] (epoch: 21, iters: 200, time: 0.004, data: 0.179) , G_GAN: 0.638, G_L1: 7.449, D_real: 0.285, D_fake: 0.212

[Rank 0] (epoch: 21, iters: 400, time: 0.018, data: 0.005) , G_GAN: 0.290, G_L1: 7.536, D_real: 0.165, D_fake: 0.172

[Rank 0] (epoch: 21, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.434, G_L1: 6.639, D_real: 0.246, D_fake: 0.183

[Rank 0] (epoch: 21, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.490, G_L1: 7.515, D_real: 0.106, D_fake: 0.262

[Rank 0] (epoch: 21, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.355, G_L1: 8.467, D_real: 0.383, D_fake: 0.104

[Rank 0] (epoch: 22, iters: 200, time: 0.017, data: 0.177) , G_GAN: 0.948, G_L1: 9.983, D_real: 0.141, D_fake: 0.257

[Rank 0] (epoch: 22, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.426, G_L1: 8.052, D_real: 0.197, D_fake: 0.215

[Rank 0] (epoch: 22, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.530, G_L1: 6.965, D_real: 0.048, D_fake: 0.455

[Rank 0] (epoch: 22, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.341, G_L1: 8.411, D_real: 0.278, D_fake: 0.085

[Rank 0] (epoch: 22, iters: 1000, time: 0.515, data: 0.004) , G_GAN: 0.619, G_L1: 6.966, D_real: 0.135, D_fake: 0.268

[Rank 0] (epoch: 23, iters: 200, time: 0.004, data: 0.176) , G_GAN: 0.442, G_L1: 7.924, D_real: 0.429, D_fake: 0.180

[Rank 0] (epoch: 23, iters: 400, time: 0.015, data: 0.004) , G_GAN: 0.590, G_L1: 8.400, D_real: 0.172, D_fake: 0.076

[Rank 0] (epoch: 23, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.074, G_L1: 6.499, D_real: 0.643, D_fake: 0.101

[Rank 0] (epoch: 23, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.356, G_L1: 6.024, D_real: 0.114, D_fake: 0.183

[Rank 0] (epoch: 23, iters: 1000, time: 0.003, data: 0.003) , G_GAN: 0.601, G_L1: 7.694, D_real: 0.097, D_fake: 0.101

[Rank 0] (epoch: 24, iters: 200, time: 0.019, data: 0.192) , G_GAN: 0.523, G_L1: 6.374, D_real: 0.169, D_fake: 0.182

[Rank 0] (epoch: 24, iters: 400, time: 0.003, data: 0.003) , G_GAN: 0.299, G_L1: 8.145, D_real: 0.311, D_fake: 0.363

[Rank 0] (epoch: 24, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.503, G_L1: 8.626, D_real: 0.144, D_fake: 0.269

[Rank 0] (epoch: 24, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.248, G_L1: 6.995, D_real: 0.205, D_fake: 0.175

[Rank 0] (epoch: 24, iters: 1000, time: 0.017, data: 0.004) , G_GAN: 0.089, G_L1: 5.852, D_real: 0.506, D_fake: 0.111

[Rank 0] (epoch: 25, iters: 200, time: 0.004, data: 0.181) , G_GAN: 0.440, G_L1: 6.453, D_real: 0.152, D_fake: 0.216

[Rank 0] (epoch: 25, iters: 400, time: 0.017, data: 0.004) , G_GAN: 0.316, G_L1: 5.800, D_real: 0.174, D_fake: 0.275

[Rank 0] (epoch: 25, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.236, G_L1: 5.587, D_real: 0.164, D_fake: 0.314

[Rank 0] (epoch: 25, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.555, G_L1: 8.051, D_real: 0.138, D_fake: 0.178

[Rank 0] (epoch: 25, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.420, G_L1: 7.872, D_real: 0.062, D_fake: 0.362

[Rank 0] (epoch: 26, iters: 200, time: 0.100, data: 0.174) , G_GAN: 0.696, G_L1: 10.151, D_real: 0.036, D_fake: 0.319

[Rank 0] (epoch: 26, iters: 400, time: 0.003, data: 0.004) , G_GAN: 0.282, G_L1: 7.448, D_real: 0.229, D_fake: 0.119

[Rank 0] (epoch: 26, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.623, G_L1: 7.732, D_real: 0.103, D_fake: 0.157

[Rank 0] (epoch: 26, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.369, G_L1: 7.421, D_real: 0.036, D_fake: 0.625

[Rank 0] (epoch: 26, iters: 1000, time: 0.017, data: 0.004) , G_GAN: 0.788, G_L1: 9.465, D_real: 0.098, D_fake: 0.183

