================ Training Loss (Sun Jun 21 14:58:58 2026) ================
[Rank 0] (epoch: 17, iters: 400, time: 0.015, data: 0.002) , G_GAN: 0.865, G_L1: 2.802, D_real: 0.590, D_fake: 0.646

[Rank 0] (epoch: 17, iters: 600, time: 0.003, data: 0.001) , G_GAN: 0.875, G_L1: 3.041, D_real: 0.553, D_fake: 0.653

[Rank 0] (epoch: 17, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.839, G_L1: 2.442, D_real: 0.475, D_fake: 0.762

[Rank 0] (epoch: 17, iters: 1000, time: 0.004, data: 0.002) , G_GAN: 0.757, G_L1: 2.408, D_real: 1.086, D_fake: 0.809

[Rank 0] (epoch: 18, iters: 200, time: 0.015, data: 0.434) , G_GAN: 0.774, G_L1: 2.764, D_real: 0.882, D_fake: 0.655

[Rank 0] (epoch: 18, iters: 400, time: 0.004, data: 0.001) , G_GAN: 0.615, G_L1: 2.952, D_real: 1.300, D_fake: 0.828

[Rank 0] (epoch: 18, iters: 600, time: 0.003, data: 0.003) , G_GAN: 0.902, G_L1: 3.005, D_real: 0.271, D_fake: 0.715

[Rank 0] (epoch: 18, iters: 800, time: 0.003, data: 0.002) , G_GAN: 0.788, G_L1: 2.789, D_real: 0.781, D_fake: 0.670

[Rank 0] (epoch: 18, iters: 1000, time: 0.015, data: 0.002) , G_GAN: 0.905, G_L1: 2.471, D_real: 0.428, D_fake: 0.714

[Rank 0] (epoch: 19, iters: 200, time: 0.003, data: 0.431) , G_GAN: 0.884, G_L1: 2.733, D_real: 0.538, D_fake: 0.676

[Rank 0] (epoch: 19, iters: 400, time: 0.016, data: 0.002) , G_GAN: 0.741, G_L1: 2.539, D_real: 0.536, D_fake: 0.779

[Rank 0] (epoch: 19, iters: 600, time: 0.003, data: 0.002) , G_GAN: 1.129, G_L1: 3.782, D_real: 0.285, D_fake: 0.545

[Rank 0] (epoch: 19, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.321, G_L1: 3.303, D_real: 0.310, D_fake: 0.617

[Rank 0] (epoch: 19, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.800, G_L1: 2.337, D_real: 0.587, D_fake: 0.697

[Rank 0] (epoch: 20, iters: 200, time: 0.019, data: 0.437) , G_GAN: 1.122, G_L1: 3.852, D_real: 0.222, D_fake: 0.569

[Rank 0] (epoch: 20, iters: 400, time: 0.003, data: 0.001) , G_GAN: 0.764, G_L1: 2.458, D_real: 0.721, D_fake: 0.704

